,Type,Region,YEAR,NO_BUILDING_PERMITS,ca_households,bayarea_households,Households,Normalized_Share,Share_per_10K_Households,Share
0,"2-, 3-, and 4-Plex Units per Structure",Bay Area,2013,691.0,12542460,2613055,2613055,4.33,2.64,4.3
1,"2-, 3-, and 4-Plex Units per Structure",California,2013,4111.0,12542460,2613055,12542460,5.11,3.28,5.1
2,5 or More Units per Structure,Bay Area,2013,10975.0,12542460,2613055,2613055,68.74,42.0,68.7
3,5 or More Units per Structure,California,2013,39837.0,12542460,2613055,12542460,49.49,31.76,49.5
4,Accessory Dwelling Unit,Bay Area,2013,234.0,12542460,2613055,2613055,1.47,0.9,1.5
5,Accessory Dwelling Unit,California,2013,799.0,12542460,2613055,12542460,0.99,0.64,1.0
6,Mobile Home Unit,Bay Area,2013,136.0,12542460,2613055,2613055,0.85,0.52,0.9
7,Mobile Home Unit,California,2013,903.0,12542460,2613055,12542460,1.12,0.72,1.1
8,Single-Family Attached Unit,Bay Area,2013,,12542460,2613055,2613055,,,
9,Single-Family Attached Unit,California,2013,,12542460,2613055,12542460,,,
10,Single-Family Detached Unit,Bay Area,2013,3929.0,12542460,2613055,2613055,24.61,15.04,24.6
11,Single-Family Detached Unit,California,2013,34848.0,12542460,2613055,12542460,43.29,27.78,43.3
12,"2-, 3-, and 4-Plex Units per Structure",Bay Area,2014,586.0,12617280,2636267,2636267,2.55,2.22,2.6
13,"2-, 3-, and 4-Plex Units per Structure",California,2014,2398.0,12617280,2636267,12617280,2.76,1.9,2.8
14,5 or More Units per Structure,Bay Area,2014,17261.0,12617280,2636267,2636267,75.19,65.48,75.2
15,5 or More Units per Structure,California,2014,50585.0,12617280,2636267,12617280,58.15,40.09,58.1
16,Accessory Dwelling Unit,Bay Area,2014,267.0,12617280,2636267,2636267,1.16,1.01,1.2
17,Accessory Dwelling Unit,California,2014,789.0,12617280,2636267,12617280,0.91,0.63,0.9
18,Mobile Home Unit,Bay Area,2014,34.0,12617280,2636267,2636267,0.15,0.13,0.1
19,Mobile Home Unit,California,2014,876.0,12617280,2636267,12617280,1.01,0.69,1.0
20,Single-Family Attached Unit,Bay Area,2014,,12617280,2636267,2636267,,,
21,Single-Family Attached Unit,California,2014,,12617280,2636267,12617280,,,
22,Single-Family Detached Unit,Bay Area,2014,4808.0,12617280,2636267,2636267,20.94,18.24,20.9
23,Single-Family Detached Unit,California,2014,32347.0,12617280,2636267,12617280,37.18,25.64,37.2
24,"2-, 3-, and 4-Plex Units per Structure",Bay Area,2015,520.0,12717801,2662572,2662572,2.03,1.95,2.0
25,"2-, 3-, and 4-Plex Units per Structure",California,2015,2885.0,12717801,2662572,12717801,2.91,2.27,2.9
26,5 or More Units per Structure,Bay Area,2015,17399.0,12717801,2662572,2662572,67.97,65.35,68.0
27,5 or More Units per Structure,California,2015,57836.0,12717801,2662572,12717801,58.33,45.48,58.3
28,Accessory Dwelling Unit,Bay Area,2015,450.0,12717801,2662572,2662572,1.76,1.69,1.8
29,Accessory Dwelling Unit,California,2015,1205.0,12717801,2662572,12717801,1.22,0.95,1.2
30,Mobile Home Unit,Bay Area,2015,231.0,12717801,2662572,2662572,0.9,0.87,0.9
31,Mobile Home Unit,California,2015,816.0,12717801,2662572,12717801,0.82,0.64,0.8
32,Single-Family Attached Unit,Bay Area,2015,,12717801,2662572,2662572,,,
33,Single-Family Attached Unit,California,2015,,12717801,2662572,12717801,,,
34,Single-Family Detached Unit,Bay Area,2015,6997.0,12717801,2662572,2662572,27.34,26.28,27.3
35,Single-Family Detached Unit,California,2015,36407.0,12717801,2662572,12717801,36.72,28.63,36.7
36,"2-, 3-, and 4-Plex Units per Structure",Bay Area,2016,696.0,12807387,2684352,2684352,3.29,2.59,3.3
37,"2-, 3-, and 4-Plex Units per Structure",California,2016,4160.0,12807387,2684352,12807387,4.24,3.25,4.2
38,5 or More Units per Structure,Bay Area,2016,13520.0,12807387,2684352,2684352,63.84,50.37,63.8
39,5 or More Units per Structure,California,2016,55247.0,12807387,2684352,12807387,56.29,43.14,56.3
40,Accessory Dwelling Unit,Bay Area,2016,674.0,12807387,2684352,2684352,3.18,2.51,3.2
41,Accessory Dwelling Unit,California,2016,1335.0,12807387,2684352,12807387,1.36,1.04,1.4
42,Mobile Home Unit,Bay Area,2016,23.0,12807387,2684352,2684352,0.11,0.09,0.1
43,Mobile Home Unit,California,2016,739.0,12807387,2684352,12807387,0.75,0.58,0.8
44,Single-Family Attached Unit,Bay Area,2016,,12807387,2684352,2684352,,,
45,Single-Family Attached Unit,California,2016,,12807387,2684352,12807387,,,
46,Single-Family Detached Unit,Bay Area,2016,6265.0,12807387,2684352,2684352,29.58,23.34,29.6
47,Single-Family Detached Unit,California,2016,36660.0,12807387,2684352,12807387,37.35,28.62,37.4
48,"2-, 3-, and 4-Plex Units per Structure",Bay Area,2017,789.0,12888128,2700986,2700986,2.66,2.92,2.7
49,"2-, 3-, and 4-Plex Units per Structure",California,2017,4043.0,12888128,2700986,12888128,3.42,3.14,3.4
50,5 or More Units per Structure,Bay Area,2017,21352.0,12888128,2700986,2700986,72.11,79.05,72.1
51,5 or More Units per Structure,California,2017,59292.0,12888128,2700986,12888128,50.19,46.01,50.2
