JURIS_NAME,Redlining_Grade,ADU_Share
ALAMEDA,A,0.0
ALAMEDA COUNTY,A,0.0
ALBANY,A,0.0
ALHAMBRA,A,6.8
ARCADIA,A,21.4
AZUSA,A,0.0
BALDWIN PARK,A,0.0
BELL,A,0.0
BELL GARDENS,A,0.0
BELLFLOWER,A,0.0
BELVEDERE,A,12.5
BERKELEY,A,12.0
BEVERLY HILLS,A,38.6
BURBANK,A,6.4
BUTTE COUNTY,A,0.0
CALAVERAS COUNTY,A,0.0
CARSON,A,0.0
CATHEDRAL,A,0.0
CERRITOS,A,0.0
CLAREMONT,A,0.0
COMMERCE,A,0.0
COMPTON,A,22.4
CONTRA COSTA COUNTY,A,100.0
CORONADO,A,20.9
COVINA,A,0.0
CUDAHY,A,0.0
CULVER CITY,A,0.0
DALY CITY,A,0.0
DANVILLE,A,100.0
DOWNEY,A,0.0
EL MONTE,A,0.0
EL SEGUNDO,A,0.0
EMERYVILLE,A,0.0
FRESNO,A,0.6
GARDENA,A,0.0
GLENDALE,A,8.5
GLENDORA,A,0.0
GOLETA,A,0.0
GUADALUPE,A,0.0
HALF MOON BAY,A,0.0
HAWTHORNE,A,0.0
HEMET,A,0.0
HERMOSA BEACH,A,0.0
HESPERIA,A,66.7
HIGHLAND,A,0.0
HILLSBOROUGH,A,0.0
IMPERIAL,A,0.0
IMPERIAL BEACH,A,0.0
INGLEWOOD,A,11.2
IRVINE,A,0.0
KERN COUNTY,A,25.0
LA CANADA FLINTRIDGE,A,14.9
LA MESA,A,0.0
LA PUENTE,A,0.0
LA VERNE,A,0.0
LAFAYETTE,A,0.0
LAKEWOOD,A,100.0
LAWNDALE,A,0.0
LOMITA,A,0.0
LONG BEACH,A,4.1
LOS ANGELES,A,4.9
LOS ANGELES COUNTY,A,7.6
LYNWOOD,A,0.0
MADERA COUNTY,A,0.0
MALIBU,A,0.0
MANHATTAN BEACH,A,0.0
MAYWOOD,A,0.0
MONROVIA,A,0.0
MONTEBELLO,A,0.0
MONTEREY PARK,A,8.9
NORWALK,A,0.0
OAKLAND,A,6.0
PALOS VERDES ESTATES,A,100.0
PARAMOUNT,A,0.0
PASADENA,A,7.7
PICO RIVERA,A,0.0
PIEDMONT,A,44.5
RANCHO PALOS VERDES,A,100.0
REDONDO BEACH,A,0.0
RIVERSIDE COUNTY,A,0.0
ROLLING HILLS ESTATES,A,100.0
ROSEMEAD,A,0.0
SACRAMENTO,A,0.0
SACRAMENTO COUNTY,A,0.0
SAN BERNARDINO COUNTY,A,0.0
SAN DIEGO,A,4.3
SAN DIMAS,A,0.0
SAN FERNANDO,A,0.0
SAN FRANCISCO,A,2.8
SAN GABRIEL,A,18.7
SAN JOAQUIN COUNTY,A,0.0
SAN JOSE,A,2.4
SAN LEANDRO,A,0.0
SAN MARINO,A,98.1
SANTA CLARA,A,0.0
SANTA CLARA COUNTY,A,0.0
SANTA MONICA,A,0.8
SIERRA MADRE,A,1.6
SIGNAL HILL,A,0.0
SOUTH EL MONTE,A,0.0
SOUTH PASADENA,A,0.0
STOCKTON,A,17.9
SUNNYVALE,A,0.0
SUTTER COUNTY,A,0.0
TEMPLE CITY,A,0.0
THOUSAND OAKS,A,0.0
TORRANCE,A,38.8
WEST HOLLYWOOD,A,25.0
WEST SACRAMENTO,A,0.0
WHITTIER,A,3.4
YUBA COUNTY,A,90.0
ALAMEDA,B,12.1
ALAMEDA COUNTY,B,0.0
ALBANY,B,75.0
ALHAMBRA,B,29.3
ARCADIA,B,11.9
AZUSA,B,0.0
BALDWIN PARK,B,0.0
BELL,B,43.8
BELL GARDENS,B,0.0
BELLFLOWER,B,0.0
BELVEDERE,B,0.0
BERKELEY,B,18.7
BEVERLY HILLS,B,45.7
BURBANK,B,39.7
BUTTE COUNTY,B,0.0
CALAVERAS COUNTY,B,0.0
